[22/Nov/2024:17:15:50 +0000] - 200 200 - GET http localhost "/" [Client 172.18.0.1] [Length 417] [Gzip 1.75] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "-"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/@react-refresh" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/main.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/@vite/client" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/routeTree.gen.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/client/index.ts" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/theme.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/node_modules/vite/dist/client/env.mjs" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/routes/_layout.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/routes/reset-password.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/routes/__root.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/routes/login.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
[22/Nov/2024:17:15:50 +0000] - 304 304 - GET http localhost "/src/routes/recover-password.tsx" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to frontend] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15" "http://localhost/"
